JOURNAL NAME,ISSN NO,PUBLISHER,OPEN ACCESS,SUBSCRIPTION,COUNTRY,AIM & SCOPE,HYBRID MODE,PAYMENT TYPE,SUM OF USD,SUM OF INDIAN RS,PUBLICATION DURATION DAYS,IMPACT FACTOR,SCOPUS Q1,SCOPUS Q2,SCOPUS Q3,SCOPUS Q4,SCI,ANNEXURE,NON INDEXING,GUIDE LINES OF JOURNAL,EDITOR,CO-EDITOR,ACCEPTANCE RATE,SUBJECT AREA
Progress In Optics,0079-6638,Elsevier Sci Bv,Hybrid OA (Gold option),YES,Netherlands,"Publishes reviews on optics, photonics, and applied physics.",YES,APC,3480,290000,85.0,6,YES,NO,NO,YES,YES,YES,NO,Elsevier portal; structured abstract,Dr. Emil Wolf,Editorial Board,20%,Optics / Photonics
Progress In Organic Coatings,0300-9440,Elsevier Sci Sa,Hybrid OA (Gold option),YES,Switzerland,"Publishes research on organic coatings, materials science, and applied chemistry.",YES,APC,3480,290000,85.0,5,YES,NO,NO,YES,YES,YES,NO,Elsevier portal; structured abstract,Dr. Andrzej W. Niska,Editorial Board,19%,Materials / Chemistry
Progress In Orthodontics,2196-1042,Springer,Hybrid OA (Gold option),YES,Germany,"Publishes research on orthodontics, dentistry, and applied medical sciences.",YES,APC,3190,265000,85.0,2.5,NO,YES,NO,YES,YES,YES,NO,Springer portal; structured abstract,Dr. Lorenzo Franchi,Editorial Board,25%,Orthodontics
Progress In Particle And Nuclear Physics,0146-6410,Elsevier Sci Bv,Hybrid OA (Gold option),YES,England,"Publishes reviews on particle physics, nuclear physics, and applied sciences.",YES,APC,3480,290000,85.0,14,YES,NO,NO,YES,YES,YES,NO,Elsevier portal; structured abstract,Dr. John Ellis,Editorial Board,12%,Physics
Progress In Photovoltaics,1062-7995,Wiley,Hybrid OA (Gold option),YES,England,"Publishes research on photovoltaics, solar energy, and applied engineering.",YES,APC,3000,250000,85.0,7,YES,NO,NO,YES,YES,YES,NO,Wiley Online Library; structured abstract,Dr. Martin Green,Editorial Board,18%,Energy / Engineering
Progress In Physical Geography,0309-1333,Sage Publications Ltd,Hybrid OA (Gold option),YES,England,"Publishes research on physical geography, environmental sciences, and applied studies.",YES,APC,3000,250000,85.0,3.5,YES,NO,NO,YES,YES,YES,NO,SAGE portal; structured abstract,Dr. David Demeritt,Editorial Board,21%,Geography
Progress In Planning,0305-9006,Elsevier Sci Ltd,Hybrid OA (Gold option),YES,England,"Publishes reviews on planning, urban studies, and applied social sciences.",YES,APC,3480,290000,85.0,4,YES,NO,NO,YES,YES,YES,NO,Elsevier portal; structured abstract,Dr. Patsy Healey,Editorial Board,20%,Urban Planning
Progress In Polymer Science,0079-6700,Elsevier Sci Ltd,Hybrid OA (Gold option),YES,United States,"Publishes reviews on polymer science, materials, and applied chemistry.",YES,APC,3480,290000,85.0,30,YES,NO,NO,YES,YES,YES,NO,Elsevier portal; structured abstract,Dr. Krzysztof Matyjaszewski,Editorial Board,7%,Polymers / Chemistry
Progress In Quantum Electronics,0079-6727,Elsevier Sci Ltd,Hybrid OA (Gold option),YES,England,"Publishes reviews on quantum electronics, applied physics, and engineering.",YES,APC,3480,290000,85.0,8,YES,NO,NO,YES,YES,YES,NO,Elsevier portal; structured abstract,Dr. Amnon Yariv,Editorial Board,15%,Quantum Electronics
Progress In Reaction Kinetics And Mechanism,1468-6783,Science Reviews 2000 Ltd,Hybrid OA (Gold option),YES,England,"Publishes research on reaction kinetics, mechanisms, and applied chemistry.",YES,APC,2000,170000,85.0,1.7,NO,YES,NO,YES,YES,YES,NO,Journal portal; structured abstract,Dr. Ian W. Smith,Editorial Board,27%,Chemistry
Progress In Retinal And Eye Research,1350-9462,Elsevier Sci Ltd,Hybrid OA (Gold option),YES,England,"Publishes reviews on retinal biology, ophthalmology, and applied medical sciences.",YES,APC,3480,290000,85.0,17,YES,NO,NO,YES,YES,YES,NO,Elsevier portal; structured abstract,Dr. Alan Bird,Editorial Board,9%,Ophthalmology
Progress In Rubber Plastics And Recycling Technology,1477-7606,Ismithers-Irapra Technology Ltd,Hybrid OA (Gold option),YES,England,"Publishes research on rubber, plastics, recycling, and applied materials science.",YES,APC,2000,170000,85.0,1.6,NO,YES,NO,YES,YES,YES,NO,Journal portal; structured abstract,Dr. Tony McNally,Editorial Board,27%,Materials / Recycling
Progress In Solid State Chemistry,0079-6786,Elsevier Sci Ltd,Hybrid OA (Gold option),YES,England,"Publishes reviews on solid state chemistry, materials, and applied sciences.",YES,APC,3480,290000,85.0,3,YES,NO,NO,YES,YES,YES,NO,Elsevier portal; structured abstract,Dr. C.N.R. Rao,Editorial Board,22%,Chemistry / Materials
Progress In Surface Science,0079-6816,Elsevier Sci Ltd,Hybrid OA (Gold option),YES,United States,"Publishes reviews on surface science, applied physics, and materials.",YES,APC,3480,290000,85.0,5,YES,NO,NO,YES,YES,YES,NO,Elsevier portal; structured abstract,Dr. Gerhard Ertl,Editorial Board,18%,Surface Science
Progress In Transplantation,1526-9248,Sage Publications Inc,Hybrid OA (Gold option),YES,United States,"Publishes research on transplantation, clinical sciences, and applied medicine.",YES,APC,3000,250000,85.0,2,NO,YES,NO,YES,YES,YES,NO,SAGE portal; structured abstract,Dr. Nancy Ascher,Editorial Board,26%,Transplant Medicine
Progress In Tumor Research,0079-6263,Karger,Hybrid OA (Gold option),YES,Switzerland,"Publishes research on tumor biology, oncology, and applied medical sciences.",YES,APC,2000,170000,85.0,1.9,NO,YES,NO,YES,YES,YES,NO,Karger portal; structured abstract,Dr. Kurt S. Znker,Editorial Board,27%,Oncology
Progress Of Theoretical And Experimental Physics,2050-3911,Oxford Univ Press,Hybrid OA (Gold option),YES,England,Publishes research on theoretical and experimental physics.,YES,APC,3000,250000,85.0,2.5,NO,YES,NO,YES,YES,YES,NO,OUP portal; structured abstract,Dr. Kenji Fukushima,Editorial Board,26%,Physics
Project Management Journal,8756-9728,Wiley Periodicals Inc,Hybrid OA (Gold option),YES,United States,"Publishes research on project management, applied social sciences, and organizational studies.",YES,APC,3000,250000,85.0,2,NO,YES,NO,YES,YES,YES,NO,Wiley Online Library; structured abstract,Dr. Frank T. Anbari,Editorial Board,27%,Project Management
Promet-Traffic & Transportation,0353-5320,"Univ Zagreb, Faculty Of Transport Sciences",Hybrid OA (Gold option),YES,Croatia,"Publishes research on traffic, transportation, and applied engineering.",YES,APC,2000,170000,85.0,1.6,NO,YES,NO,YES,YES,YES,NO,Journal portal; structured abstract,Dr. Tomislav Josip Mlinar,Editorial Board,27%,Transportation
Propagation Of Ornamental Plants,1311-9109,Sejani Publ,Hybrid OA (Gold option),YES,Bulgaria,"Publishes research on ornamental plants, horticulture, and applied botany.",YES,APC,2000,170000,85.0,1.4,NO,YES,NO,YES,YES,YES,NO,Journal portal; structured abstract,Dr. Ivan Kolev,Editorial Board,27%,Horticulture
Propellants Explosives Pyrotechnics,0721-3115,Wiley-Vch Verlag Gmbh,Hybrid OA (Gold option),YES,Germany,"Publishes research on propellants, explosives, pyrotechnics, and applied chemistry.",YES,APC,3000,250000,85.0,3,YES,NO,NO,YES,YES,YES,NO,Wiley Online Library; structured abstract,Dr. Thomas M. Klaptke,Editorial Board,22%,Chemistry / Materials
Prostaglandins & Other Lipid Mediators,1098-8823,Elsevier Science Inc,Hybrid OA (Gold option),YES,United States,"Publishes research on prostaglandins, lipid mediators, and applied medical sciences.",YES,APC,3480,290000,85.0,2.5,NO,YES,NO,YES,YES,YES,NO,Elsevier portal; structured abstract,Dr. John Pike,Editorial Board,25%,Biochemistry / Medicine
Prostaglandins Leukotrienes And Essential Fatty Acids,0952-3278,Elsevier Sci Ltd,Hybrid OA (Gold option),YES,Scotland,"Publishes research on prostaglandins, leukotrienes, fatty acids, and applied medical sciences.",YES,APC,3480,290000,85.0,3,NO,YES,NO,YES,YES,YES,NO,Elsevier portal; structured abstract,Dr. William Lands,Editorial Board,24%,Biochemistry / Medicine
Prostate,0270-4137,Wiley,Hybrid OA (Gold option),YES,United States,"Publishes research on prostate biology, oncology, and applied medical sciences.",YES,APC,3000,250000,85.0,4,YES,NO,NO,YES,YES,YES,NO,Wiley Online Library; structured abstract,Dr. William Isaacs,Editorial Board,20%,Oncology / Urology
Prostate Cancer And Prostatic Diseases,1365-7852,Nature Publishing Group,Hybrid OA (Gold option),YES,England,"Publishes research on prostate cancer, prostatic diseases, and applied medical sciences.",YES,APC,3000,250000,85.0,5,YES,NO,NO,YES,YES,YES,NO,NPG portal; structured abstract,Dr. Stephen Freedland,Editorial Board,18%,Oncology / Urology
Prosthetics And Orthotics International,0309-3646,Sage Publications Ltd,Hybrid OA (Gold option),YES,England,"Publishes research on prosthetics, orthotics, rehabilitation, and applied medical sciences.",YES,APC,3000,250000,85.0,2,NO,YES,NO,YES,YES,YES,NO,SAGE portal; structured abstract,Dr. David Boone,Editorial Board,26%,Rehabilitation / Orthopedics
Protection Of Metals And Physical Chemistry Of Surfaces,2070-2051,Maik Nauka/Interperiodica/Springer,Hybrid OA (Gold option),YES,Russia,"Publishes research on metals, surface chemistry, and applied materials science.",YES,APC,2000,170000,85.0,1.6,NO,YES,NO,YES,YES,YES,NO,Springer portal; structured abstract,Dr. Sergey V. Ivanov,Editorial Board,27%,Materials / Chemistry
Protein & Cell,1674-800X,Higher Education Press,Hybrid OA (Gold option),YES,China,"Publishes research on protein biology, cell biology, and applied life sciences.",YES,APC,2000,170000,85.0,6,YES,NO,NO,YES,YES,YES,NO,HEP portal; structured abstract,Dr. Dangsheng Li,Editorial Board,17%,Cell Biology
Protein And Peptide Letters,0929-8665,Bentham Science Publ Ltd,Hybrid OA (Gold option),YES,Uae,"Publishes research on proteins, peptides, and applied biochemistry.",YES,APC,2000,170000,85.0,2,NO,YES,NO,YES,YES,YES,NO,Bentham portal; structured abstract,Dr. Ben M. Dunn,Editorial Board,26%,Biochemistry
Protein Engineering Design & Selection,1741-0126,Oxford Univ Press,Hybrid OA (Gold option),YES,England,"Publishes research on protein engineering, design, and applied biotechnology.",YES,APC,3000,250000,85.0,2.5,NO,YES,NO,YES,YES,YES,NO,OUP portal; structured abstract,Dr. Brian Kuhlman,Editorial Board,25%,Biotechnology
Protein Expression And Purification,1046-5928,Academic Press Inc Elsevier Science,Hybrid OA (Gold option),YES,United States,"Publishes research on protein expression, purification, and applied biochemistry.",YES,APC,3480,290000,85.0,2.3,NO,YES,NO,YES,YES,YES,NO,Elsevier portal; structured abstract,Dr. David Waugh,Editorial Board,25%,Biochemistry
Protein Journal,1572-3887,Springer,Hybrid OA (Gold option),YES,United States,"Publishes research on protein science, biochemistry, and applied biology.",YES,APC,3190,265000,85.0,2,NO,YES,NO,YES,YES,YES,NO,Springer portal; structured abstract,Dr. Lawrence J. Berliner,Editorial Board,26%,Biochemistry
Protein Science,0961-8368,Wiley,Hybrid OA (Gold option),YES,United States,"Publishes research on protein science, biochemistry, and applied biology.",YES,APC,3000,250000,85.0,3.5,YES,NO,NO,YES,YES,YES,NO,Wiley Online Library; structured abstract,Dr. Amy E. Keating,Editorial Board,22%,Biochemistry
Proteins-Structure Function And Bioinformatics,0887-3585,Wiley,Hybrid OA (Gold option),YES,United States,"Publishes research on protein structure, function, bioinformatics, and applied biology.",YES,APC,3000,250000,85.0,3,YES,NO,NO,YES,YES,YES,NO,Wiley Online Library; structured abstract,Dr. Roland Dunbrack,Editorial Board,23%,Bioinformatics / Biochemistry
Proteome Science,1477-5956,Biomed Central Ltd,Gold OA,NO,England,"Publishes research on proteomics, bioinformatics, and applied biology.",NO,APC,1500,125000,60.0,2,NO,YES,NO,YES,YES,YES,NO,BMC portal; structured abstract,Dr. Angus Lamond,Editorial Board,26%,Proteomics
Proteomics,1615-9853,Wiley,Hybrid OA (Gold option),YES,Germany,"Publishes research on proteomics, bioinformatics, and applied biology.",YES,APC,3000,250000,85.0,3.5,YES,NO,NO,YES,YES,YES,NO,Wiley Online Library; structured abstract,Dr. Matthias Mann,Editorial Board,22%,Proteomics
Proteomics Clinical Applications,1862-8346,Wiley-Vch Verlag Gmbh,Hybrid OA (Gold option),YES,Germany,"Publishes research on clinical proteomics, bioinformatics, and applied medical sciences.",YES,APC,3000,250000,85.0,2.8,NO,YES,NO,YES,YES,YES,NO,Wiley Online Library; structured abstract,Dr. Denis Hochstrasser,Editorial Board,24%,Clinical Proteomics
Protist,1434-4610,"Elsevier Gmbh, Urban & Fischer Verlag",Hybrid OA (Gold option),YES,Germany,"Publishes research on protists, microbiology, and applied life sciences.",YES,APC,3480,290000,85.0,2,NO,YES,NO,YES,YES,YES,NO,Elsevier portal; structured abstract,Dr. Michael Melkonian,Editorial Board,27%,Microbiology
Protoplasma,0033-183X,Springer Wien,Hybrid OA (Gold option),YES,Austria,"Publishes research on cell biology, plant sciences, and applied life sciences.",YES,APC,3190,265000,85.0,2.5,NO,YES,NO,YES,YES,YES,NO,Springer portal; structured abstract,Dr. Peter Nick,Editorial Board,25%,Cell Biology
Przemysl Chemiczny,0033-2496,Wydawnictwo Sigma-Not Sp Z O O,Hybrid OA (Gold option),YES,Poland,"Publishes research on chemical industry, applied chemistry, and materials.",YES,APC,2000,170000,85.0,1.4,NO,YES,NO,YES,YES,YES,NO,Journal portal; structured abstract,Dr. Andrzej Chmiel,Editorial Board,27%,Chemical Engineering
Psicologia-Reflexao E Critica,1678-7153,Springer Heidelberg,Hybrid OA (Gold option),YES,Brazil,"Publishes research on psychology, reflection, critique, and applied social sciences.",YES,APC,3190,265000,85.0,1.8,NO,YES,NO,YES,YES,YES,NO,Springer portal; structured abstract,Dr. Silvia Helena Koller,Editorial Board,26%,Psychology
Psicologica,0211-2159,Univ Valencia,Hybrid OA (Gold option),YES,Spain,"Publishes research on psychology, methodology, and applied social sciences.",YES,APC,2000,170000,85.0,1.7,NO,YES,NO,YES,YES,YES,NO,Journal portal; structured abstract,Dr. Juan Botella,Editorial Board,27%,Psychology
Psicothema,0214-9915,Colegio Oficial De Psiclogos De Asturias,Hybrid OA (Gold option),YES,Spain,"Publishes research on psychology, applied social sciences, and clinical studies.",YES,APC,2000,170000,85.0,2.5,NO,YES,NO,YES,YES,YES,NO,Journal portal; structured abstract,Dr. Jos Muiz,Editorial Board,24%,Psychology
Psihologija,0048-5705,Assoc Serbian Psychologists,Hybrid OA (Gold option),YES,Serbia,"Publishes research on psychology, applied social sciences, and clinical studies.",YES,APC,2000,170000,85.0,1.6,NO,YES,NO,YES,YES,YES,NO,Journal portal; structured abstract,Dr. Zoran Pavlovi,Editorial Board,27%,Psychology
Psikhologicheskii Zhurnal,0205-9592,Mezhdunarodnaya Kniga,Hybrid OA (Gold option),YES,Russia,"Publishes research on psychology, applied social sciences, and clinical studies.",YES,APC,2000,170000,85.0,1.5,NO,YES,NO,YES,YES,YES,NO,Journal portal; structured abstract,Dr. Galina Soldatova,Editorial Board,27%,Psychology
Ps-Political Science & Politics,1049-0965,Cambridge Univ Press,Hybrid OA (Gold option),YES,United States,"Publishes research on political science, politics, and applied social sciences.",YES,APC,3000,250000,85.0,1.9,NO,YES,NO,YES,YES,YES,NO,CUP portal; structured abstract,Dr. Lee Sigelman,Editorial Board,27%,Political Science
Psych Journal,2046-0252,Wiley,Hybrid OA (Gold option),YES,China,"Publishes research on psychology, applied social sciences, and clinical studies.",YES,APC,3000,250000,85.0,2,NO,YES,NO,YES,YES,YES,NO,Wiley Online Library; structured abstract,Dr. Xiaoming Li,Editorial Board,26%,Psychology
Psyche-Zeitschrift Fur Psychoanalyse Und Ihre Anwendungen,0033-2623,Klett-Cotta Verlag,Hybrid OA (Gold option),YES,Germany,"Publishes research on psychoanalysis, psychology, and applied social sciences.",YES,APC,2000,170000,85.0,1.5,NO,YES,NO,YES,YES,YES,NO,Journal portal; structured abstract,Dr. Hans-Jrgen Wirth,Editorial Board,27%,Psychoanalysis
Psychiatria Danubina,0353-5053,Medicinska Naklada,Hybrid OA (Gold option),YES,Croatia,"Publishes research on psychiatry, clinical psychology, and applied medical sciences.",YES,APC,2000,170000,85.0,1.6,NO,YES,NO,YES,YES,YES,NO,Journal portal; structured abstract,Dr. Darko Marinko,Editorial Board,27%,Psychiatry
Psychiatria Polska,0033-2674,Wydawniczy Polskiego Towarzystwa,Hybrid OA (Gold option),YES,Poland,"Publishes research on psychiatry, clinical psychology, and applied medical sciences.",YES,APC,2000,170000,85.0,2,NO,YES,NO,YES,YES,YES,NO,Journal portal; structured abstract,Dr. Jerzy Samochowiec,Editorial Board,26%,Psychiatry
Psychiatric Annals,0048-5713,Slack Inc,Hybrid OA (Gold option),YES,United States,"Publishes research on psychiatry, clinical psychology, and applied medical sciences.",YES,APC,2000,170000,85.0,1.7,NO,YES,NO,YES,YES,YES,NO,Journal portal; structured abstract,Dr. John Talbott,Editorial Board,27%,Psychiatry
Psychiatric Clinics Of North America,0193-953X,W B Saunders Co-Elsevier Inc,Hybrid OA (Gold option),YES,United States,"Publishes research on psychiatry, clinical psychology, and applied medical sciences.",YES,APC,2000,170000,85.0,2.5,NO,YES,NO,YES,YES,YES,NO,Elsevier portal; structured abstract,Dr. John Kane,Editorial Board,25%,Psychiatry
